workflow,image_num,quality,model,file_size_kb,response_time_s,word_count,char_count,phrase_accuracy,extracted_text,error
EXCEL,1,PNG,gemini-2.5-flash,190.48,0.0,0,0,0.0,,"Error code: 400 - {'error': {'message': 'google/gemini-2.5-flash-preview is not a valid model ID', 'code': 400}, 'user_id': 'user_34CyBY2XgjLOVYTqC6oBOz6V4ER'}"
EXCEL,1,PNG,sonnet-4.5,190.48,17.27,239,1123,100.0,"AutoSave On  Trey_Statements_2024.xlsx  Non Public - Last Modified March 21

File  Home  Insert  Draw  Page Layout  Formulas  Data  Review  View  Automate  Help  ChemOffice21  Analytic Solver

Cut  Calibri  11  A  A  Wrap Text  Accounting  90% - Accents  Accent1  Accent2  60%  Account3  Account4  AutoSum  Sort & Filter  Find & Select  Sensitivity  Add-ins
Copy  B I U  Merge & Center  Conditional Formatting  Tables  Currency  Fill  Clear  Sensitivity  Add-ins
Paste  Format Painter  Font  Alignment  Number  Styles  Cells  Editing

F23  Month  Sales  Fees  Shipping  Marketing  Net Profit

January  $ 129.05  $ (16.73)  $ (31.99)   $ 80.33
February  $ 111.20  $ (13.03)  $ (19.54)   $ 78.63
March  $ 98.85  $ (12.46)  $ (11.76)  $ (19.30)  $ 55.33
April  $ 165.76  $ (19.90)  $ (41.52)  $ (41.11)  $ 63.23
May  $ 238.42  $ (28.32)  $ (36.37)  $ (37.42)  $ 136.31
June  $ 186.42  $ (22.62)  $ (62.19)  $ (20.89)  $ 80.72
July  $ 167.22  $ (21.37)  $ (40.16)  $ (3.34)  $ 102.35
August  $ 160.46  $ (19.84)  $ (32.38)  $ (13.36)  $ 94.88
September  $ 88.58  $ (10.43)  $ (16.20)  $ (3.28)  $ 58.67
October  $ 376.38  $ (42.49)  $ (77.99)  $ (6.68)  $ 249.22
November  $ 262.94  $ (31.40)  $ (59.67)  $ (3.79)  $ 168.08
December  $ 590.81  $ (68.12)  $ (96.70)  $ (11.37)  $ 414.62
Summary   $ 1,582.37
Expenses   $ 736.27
Profit   $ 846.10

Summary  Business Expenses  January  February  March  April  May  June  July  August  September  October  November  December

Ready  Accessibility: Good to go",
EXCEL,1,PNG,gpt-4o-mini,190.48,10.68,163,699,0.0,"```
Month      | Sales     | Fees      | Shipping  | Marketing | Net Profit
------------------------------------------------------------------------
January    | $ 129.05  | $(16.73)  | $(19.54)  |           | $ 80.83
February   | $ 111.20  | $(13.00)  | $(19.94)  |           | $ 78.63
March      | $ 98.85   | $(11.64)  | $(41.15)  |           | $ 46.06
April      | $ 74.45   | $(9.87)   | $(10.11)  |           | $ 54.47
May        | $ 238.42  | $(32.41)  | $(18.18)  |           | $ 136.31
June       | $ 167.22  | $(21.37)  | $(40.16)  | $(3.34)   | $ 102.35
July       | $ 160.46  | $(16.93)  | $(32.38)  | $(13.36)  | $ 94.88
August     | $ 88.58   | $(12.69)  | $(2.36)   |           | $ 58.67
September  | $ 42.49   | $(4.29)   | $(16.79)  |           | $ 21.41
October    | $ 262.94  | $(9.67)   | $(5.67)   |           | $ 146.60
November   | $ 590.81  | $(68.12)  | $(9.71)   | $(11.37)  | $ 414.62
------------------------------------------------------------------------
Summary    | $ 1,582.37
Expenses   | $ 736.27
Profit     | $ 846.10
```",
EXCEL,1,25,gemini-2.5-flash,208.66,0.0,0,0,0.0,,"Error code: 400 - {'error': {'message': 'google/gemini-2.5-flash-preview is not a valid model ID', 'code': 400}, 'user_id': 'user_34CyBY2XgjLOVYTqC6oBOz6V4ER'}"
EXCEL,1,25,sonnet-4.5,208.66,15.66,319,1268,100.0,"File Home Insert Draw Page Layout Formulas Data Review View Automate Help ChemOffice1 Analytic Solver

AutoSum 100% Cut Copy Paste Format Painter Clipboard Font

Cell Accounting Accounting 60% - Accents 90% - Accents Accent1 Accent2 Accent3 Accent4 Conditional Format as Table Styles Number Merge & Center Wrap Text Dollar Sign Percent Sign Comma Decrease Decimal Increase Decimal Accounting Format Table Clear Filter Find & Select Go To Sort & Filter Sum Average Count Min Max AutoSum Sensitivity Add Ins Solver ToolPak Conditional Formatting Query & Table Sparklines

F23 Month Sales Fees Shipping Marketing Net Profit
1 January $ 129.05 $ (16.73) $ (31.99) $ 80.33
2 February $ 111.10 $ (13.03) $ (19.54) $ 78.63
3 March $ 98.85 $ (12.46) $ (11.76) $ (19.30) $ 55.33
4 April $ 165.76 $ (19.90) $ (41.52) $ (41.11) $ 63.23
5 May $ 238.42 $ (28.32) $ (36.37) $ (37.42) $ 136.31
6 June $ 186.42 $ (22.62) $ (62.19) $ (20.89) $ 80.72
7 July $ 167.22 $ (21.37) $ (40.16) $ (3.34) $ 102.35
8 August $ 160.46 $ (19.84) $ (32.38) $ (13.36) $ 94.88
9 September $ 88.58 $ (10.43) $ (16.20) $ (3.28) $ 58.67
10 October $ 376.38 $ (42.49) $ (77.99) $ (6.68) $ 249.22
11 November $ 262.94 $ (31.40) $ (59.67) $ (3.79) $ 168.08
12 December $ 590.81 $ (68.12) $ (96.70) $ (11.37) $ 414.62
13 Summary $ 1,582.37
14 Expenses $ 736.27
15 Profit $ 846.10

A B C D E F G H I J K L M N O P Q R S T U V W

1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34

Summary Business Expenses January February March April May June July August September October November December",
EXCEL,1,25,gpt-4o-mini,208.66,9.5,150,581,0.0,"```
Month           Sales        Fees         Shipping    Marketing      Net Profit
January       $ 129.05   ($ 16.73)   ($ 19.94)   $ 0.00          $ 80.38
February      $ 111.20   ($ 13.00)   ($ 19.54)   $ 0.00          $ 78.63
March         $ 98.85    ($ 11.76)   ($ 6.55)    $ 0.00          $ 80.54
April         $ 107.50   ($ 13.65)   ($ 5.77)    ($ 0.12)        $ 88.96
May           $ 238.42   ($ 32.81)   ($ 41.13)   $ 0.00          $ 164.49
June          $ 167.42   ($ 21.37)   ($ 5.56)    ($ 0.34)        $ 102.35
July          $ 160.46   ($ 19.42)   ($ 32.38)   ($ 13.36)       $ 94.88
August        $ 88.58    ($ 10.43)   ($ 2.77)    $ 0.00          $ 75.38
September     $ 56.48    ($ 6.80)    ($ 0.18)    ($ 1.46)        $ 49.04
October       $ 176.88   ($ 22.59)   ($ 6.93)    ($ 0.00)        $ 147.36
November      $ 262.94   ($ 9.67)    ($ 4.64)    ($ 0.08)        $ 248.55
December      $ 590.81   ($ 68.12)   ($ 176.26)  ($ 7.81)        $ 414.62
Summary       $ 1,582.37
Expenses      $ 736.27
Profit        $ 846.10
```",
EXCEL,1,5,gemini-2.5-flash,94.1,0.0,0,0,0.0,,"Error code: 400 - {'error': {'message': 'google/gemini-2.5-flash-preview is not a valid model ID', 'code': 400}, 'user_id': 'user_34CyBY2XgjLOVYTqC6oBOz6V4ER'}"
EXCEL,1,PNG,gemini-flash-1.5,190.48,0.0,0,0,0.0,,"Error code: 404 - {'error': {'message': 'No endpoints found for google/gemini-flash-1.5.', 'code': 404}, 'user_id': 'user_34CyBY2XgjLOVYTqC6oBOz6V4ER'}"
EXCEL,1,PNG,claude-3.5-sonnet,190.48,10.71,161,694,0.0,"Month Sales Fees Shipping Marketing Net Profit

January $ 129.05 $ (16.73) $ (31.99) $ 80.33
February $ 111.20 $ (13.03) $ (19.54) $ 78.63
March $ 98.85 $ (12.46) $ (11.76) $ (19.30) $ 55.33
April $ 165.76 $ (19.90) $ (41.52) $ (41.11) $ 63.23
May $ 238.42 $ (28.32) $ (36.37) $ (37.42) $ 136.31
June $ 186.42 $ (22.62) $ (62.19) $ (20.89) $ 80.72
July $ 167.22 $ (21.37) $ (40.16) $ (3.34) $ 102.35
August $ 160.46 $ (19.84) $ (32.38) $ (13.36) $ 94.88
September $ 88.58 $ (10.43) $ (16.20) $ (3.28) $ 58.67
October $ 376.35 $ (42.49) $ (77.95) $ (6.68) $ 249.22
November $ 262.94 $ (31.40) $ (59.67) $ (3.79) $ 168.08
December $ 590.81 $ (68.12) $ (96.70) $ (11.37) $ 414.62

Summary $ 1,582.37
Expenses $ 736.27
Profit $ 846.10

[Bottom tabs]
Summary Business Expenses January February March April May June July August September October November December",
EXCEL,1,25,gemini-flash-1.5,208.66,0.0,0,0,0.0,,"Error code: 404 - {'error': {'message': 'No endpoints found for google/gemini-flash-1.5.', 'code': 404}, 'user_id': 'user_34CyBY2XgjLOVYTqC6oBOz6V4ER'}"
EXCEL,1,25,claude-3.5-sonnet,208.66,12.44,144,585,0.0,"Month   Sales    Fees     Shipping   Marketing   Net Profit

January   $ 129.05  $ (16.73)  $ (31.99)              $ 80.33
February  $ 111.20  $ (13.03)  $ (19.54)              $ 78.63
March     $ 98.85   $ (12.46)  $ (11.76)  $ (19.30)   $ 55.33
April     $ 165.76  $ (19.90)  $ (41.52)  $ (41.11)   $ 63.23
May       $ 238.42  $ (28.32)  $ (36.37)  $ (37.42)   $ 136.31
June      $ 186.42  $ (22.62)  $ (62.19)  $ (20.89)   $ 80.72
July      $ 167.22  $ (21.37)  $ (40.16)  $ (3.34)    $ 102.35
August    $ 160.46  $ (19.84)  $ (32.38)  $ (13.36)   $ 94.88
September $ 88.58   $ (10.43)  $ (16.20)  $ (3.28)    $ 58.67
October   $ 376.35  $ (42.49)  $ (77.99)  $ (6.65)    $ 249.22
November  $ 262.94  $ (31.40)  $ (59.67)  $ (3.79)    $ 168.08
December  $ 590.81  $ (68.12)  $ (96.70)  $ (11.37)   $ 414.62

Summary                                               $ 1,582.37
Expenses                                             $ 736.27
Profit                                               $ 846.10",
EXCEL,1,25,gpt-4o-mini,208.66,9.23,141,534,0.0,"```
Month        Sales         Fees         Shipping       Marketing     Net Profit
January      $ 129.05     $ (16.73)    $ (19.94)      $                $ 80.83
February     $ 111.20     $ (13.00)    $ (14.92)      $                $ 78.13
March        $ 98.85      $ (8.55)     $ (11.50)      $                $ 55.83
April        $ 96.90      $ (12.43)    $ (5.68)       $                $ 78.79
May          $ 238.42     $ (21.11)    $ (25.41)      $                $ 191.90
June         $ 167.22     $ (21.37)    $ (4.16)       $ (3.34)        $ 102.35
July         $ 160.46     $ (5.79)     $ (32.38)      $ (13.36)       $ 94.88
August       $ 88.58      $ (10.43)    $ (15.27)      $                $ 58.67
September    $ 76.38      $ (12.49)    $ (5.88)       $                $ 58.01
October      $ 83.42      $ (4.29)     $ (2.63)       $                $ 76.50
November     $ 262.94     $ (7.57)     $ (12.36)      $ (10.49)       $ 108.82
December     $ 590.81     $ (68.12)    $ (1.79)       $                $ 414.62
Summary      $ 1,582.37
Expenses     $ 736.27
Profit       $ 846.10
```",
EXCEL,1,5,gemini-flash-1.5,94.1,0.0,0,0,0.0,,"Error code: 404 - {'error': {'message': 'No endpoints found for google/gemini-flash-1.5.', 'code': 404}, 'user_id': 'user_34CyBY2XgjLOVYTqC6oBOz6V4ER'}"
EXCEL,1,5,claude-3.5-sonnet,94.1,11.07,149,694,0.0,"Month   Sales    Fees    Shipping   Marketing   Net Profit

January   $ 129.05  $(16.73) $ (31.99)           $ 80.33
February  $ 111.20  $(13.03) $ (19.54)           $ 78.63
March     $ 98.85   $(12.46) $ (11.76) $ (19.30) $ 55.33
April     $ 165.76  $(19.90) $ (41.52) $ (41.11) $ 63.23
May       $ 238.42  $(28.32) $ (36.37) $ (37.42) $ 136.31
June      $ 186.42  $(22.62) $ (62.19) $ (20.89) $ 80.72
July      $ 167.22  $(21.37) $ (40.16) $ (3.34)  $ 102.35
August    $ 160.46  $(19.84) $ (32.38) $ (13.36) $ 94.88
September $ 88.58   $(10.43) $ (16.20) $ (3.28)  $ 58.67
October   $ 376.38  $(42.49) $ (77.59) $ (6.68)  $ 249.22
December  $ 590.81  $(68.12) $ (96.70) $ (11.37) $ 414.62
November  $ 262.94  $(31.40) $ (59.67) $ (3.79)  $ 168.08

Summary                                          $ 1,582.37
Expenses                                         $ 736.27
Profit                                          $ 846.10

[Bottom tabs]
Summary   Business Expenses   January   February   March   April   May   June   July   August   September   October   November   December",
EXCEL,1,25,gemini-2.5-flash,208.66,4.42,284,1283,100.0,"AutoSave
Off
Etsy_Statements_2024.xlsx Non-Public Last Modified: March 21
Search
Comments Share
File Home Insert Draw Page Layout Formulas Data Review View Automate Help ChemOffice21 Analytic Solver
Cut
Copy
Paste
Format Painter
Clipboard
Calibri
11
A A
BIU
Font
Alignment
Wrap Text
Merge & Center
Conditional Format as
Formatting
Table
Accounting
%
Accent1
Accent2
Accent3
Accent4
60%-Accent6
Accent5
Accent6
Comma
Comma [0]
Currency
Styles
Number
Insert Delete Format
Cells
F23
A
B
C
Month
Sales
Fees
January
$ 129.05 $ (16.73) $
February $ 111.20 $ (13.03) $
March
$ 98.85 $ (12.46) $
April
$ 165.76 $ (19.90) $
May
$ 238.42 $ (28.32) $
June
$ 186.42 $ (22.62) $
July
$ 167.22 $ (21.37) $
August $ 160.46 $ (19.84) $
September $ 88.58 $ (10.43) $
October $ 376.38 $ (42.49) $
November $ 262.94 $ (31.40) $
December $ 590.81 $ (68.12) $
Summary
Expenses
Profit

D
Shipping Marketing Net Profit
(31.99)
$
(19.54)
$
(11.76) $
(19.30) $
(41.52) $
(41.11) $
(36.37) $
(37.42) $
(62.19) $
(20.89) $
(40.16) $
(3.34) $
(32.38) $
(13.36) $
(16.20) $
(3.28) $
(77.99) $
(6.68) $
(59.67) $
(3.79) $
(96.70) $
(11.37) $

$ 1,582.37
$
736.27
$
846.10
E
F
G
H
I
J
K
L
M
N
O
P
Q
R
S
T
U
V
W
∑ AutoSum
Fill
Clear
Sort & Find &
Filter Select
Editing
Sensitivity
Add-ins
Copilot
Show
ToolPak
Risk
Solver
Sensitivity Add-ins
Commands Group Risk Solver
80.33
78.63
55.33
63.23
136.31
80.72
102.35
94.88
58.67
249.22
168.08
414.62
Ready Accessibility: Good to go
<
Summary
Business Expenses
January
February March April
May
June
July
August September October November December
+
>
160%",
